"Rank","Peak","Title","Worldwide gross","Year","Reference(s)"
"1","1","Avatar","$2,787,965,087","2009",""
"2","1","Titanic","$2,186,772,302","1997",""
"3","3","Star Wars: The Force Awakens","$2,066,927,416","2015",""
"4","3","Jurassic World","$1,670,400,637","2015",""
"5","3","The Avengers","$1,519,557,910","2012",""
"6","4","Furious 7","$1,516,045,911","2015",""
"7","5","Avengers: Age of Ultron","$1,405,413,868","2015",""
"8","3","Harry Potter and the Deathly Hallows – Part 2","$1,341,511,219","2011",""
"9","5","Frozen","$1,287,000,000","2013",""
"10","5","Iron Man 3","$1,215,439,994","2013",""
"11","10","Minions","$1,159,398,397","2015",""
"12","4","Transformers: Dark of the Moon","$1,123,794,079","2011",""
"13","2","The Lord of the Rings: The Return of the King","$1,119,929,521","2003",""
"14","7","Skyfall","$1,108,561,013","2012",""
"15","15","Captain America: Civil War","$1,107,893,948","2016",""
"16","10","Transformers: Age of Extinction","$1,104,054,072","2014",""
"17","7","The Dark Knight Rises","$1,084,939,099","2012",""
"18","3","Pirates of the Caribbean: Dead Man's Chest","$1,066,179,725","2006",""
"19","5","Toy Story 3","$1,063,171,911","2010",""
"20","6","Pirates of the Caribbean: On Stranger Tides","$1,045,713,802","2011",""
"21","1","Jurassic Park","$1,029,939,903","1993",""
"22","2","Star Wars: Episode I – The Phantom Menace","$1,027,044,677","1999",""
"23","5","Alice in Wonderland","$1,025,467,110","2010",""
"24","14","The Hobbit: An Unexpected Journey","$1,021,103,568","2012",""
"25","4","The Dark Knight","$1,004,558,444","2008",""
"26","26","Zootopia","$991,777,645","2016",""
"27","2","Harry Potter and the Philosopher's Stone","$974,755,371","2001",""
"28","19","Despicable Me 2","$970,761,885","2013",""
"29","2","The Lion King","$968,483,777","1994",""
"30","5","Pirates of the Caribbean: At World's End","$963,420,425","2007",""
"31","10","Harry Potter and the Deathly Hallows – Part 1","$960,283,305","2010",""
"32","24","The Hobbit: The Desolation of Smaug","$958,366,855","2013",""
"33","26","The Hobbit: The Battle of the Five Armies","$956,019,788","2014",""
"34","6","Harry Potter and the Order of the Phoenix","$939,885,929","2007",""
"35","9","Finding Nemo","$936,743,261","2003",""
"36","8","Harry Potter and the Half-Blood Prince","$934,416,487","2009",""
"37","4","The Lord of the Rings: The Two Towers","$926,047,111","2002",""
"38","6","Shrek 2","$919,838,758","2004",""
"39","8","Harry Potter and the Goblet of Fire","$896,911,078","2005",""
"40","10","Spider-Man 3","$890,871,626","2007",""
"41","15","Ice Age: Dawn of the Dinosaurs","$886,686,817","2009",""
"42","40","Spectre","$880,674,609","2015",""
"43","43","The Jungle Book","$879,846,909","2016",""
"44","6","Harry Potter and the Chamber of Secrets","$878,979,634","2002",""
"45","29","Ice Age: Continental Drift","$877,244,782","2012",""
"46","5","The Lord of the Rings: The Fellowship of the Ring","$871,530,324","2001",""
"47","45","Batman v Superman: Dawn of Justice","$871,075,948","2016",""
"48","34","The Hunger Games: Catching Fire","$865,011,746","2013",""
"49","43","Inside Out","$857,427,711","2015",""
"50","11","Star Wars: Episode III – Revenge of the Sith","$848,754,768","2005",""
