"Rank","Title","Worldwide gross  (2017 $)","Year"
"1","Gone with the Wind","$3,703,000,000","1939"
"2","Avatar","$3,251,000,000","2009"
"3","Titanic","$2,516,000,000$3,078,000,000","1997"
"4","Star Wars","$3,041,000,000","1977"
"5","The Sound of Music","$2,547,000,000","1965"
"6","E.T. the Extra-Terrestrial","$2,487,000,000","1982"
"7","The Ten Commandments","$2,354,000,000","1956"
"8","Doctor Zhivago","$2,232,000,000","1965"
"9","Jaws","$2,182,000,000","1975"
"10","Star Wars: The Force Awakens","$2,144,000,000","2015"
