"Year","Title","Worldwide gross","Budget","Reference(s)"
"1915","The Birth of a Nation","$50,000,000–100,000,000$20,000,000+ ($5,200,000)","$110,000",""
"1916","Intolerance","$1,000,000","$489,653",""
"1917","Cleopatra","$500,000","$300,000",""
"1918","Mickey","$8,000,000","$250,000",""
"1919","The Miracle Man","$3,000,000","$120,000",""
"1920","Way Down East","$5,000,000 ($4,000,000)","$800,000",""
"1921","The Four Horsemen of the Apocalypse","$5,000,000 ($4,000,000)","$600,000–800,000",""
"1922","Robin Hood","$2,500,000","$930,042.78",""
"1923","The Covered Wagon","$5,000,000","$800,000",""
"1924","The Sea Hawk","$3,000,000","$700,000",""
"1925","The Big Parade","$18,000,000–22,000,000  ($6,131,000)","$382,000",""
"1925","Ben-Hur","$10,738,000 ($9,386,000)","$3,967,000",""
"1926","For Heaven's Sake","$2,600,000","$150,000",""
"1927","Wings","$3,600,000","$2,000,000",""
"1928","The Singing Fool","$5,900,000","$388,000",""
"1929","The Broadway Melody","$4,400,000–4,800,000","$379,000",""
"1929","Sunny Side Up","$3,500,000","$600,000",""
"1930","All Quiet on the Western Front","$3,000,000","$1,250,000",""
"1931","Frankenstein","$12,000,000 ($1,400,000)","$250,000",""
"1931","City Lights","$5,000,000","$1,607,351",""
"1932","The Sign of the Cross","$2,738,993","$694,065",""
"1933","King Kong","$5,347,000 ($1,856,000)","$672,255.75",""
"1933","I'm No Angel","$3,250,000+","$200,000",""
"1933","Cavalcade","$3,000,000–4,000,000","$1,116,000",""
"1933","She Done Him Wrong","$3,000,000+","$274,076",""
"1934","The Merry Widow","$2,608,000","$1,605,000",""
"1934","It Happened One Night","$1,000,000","$325,000",""
"1935","Mutiny on the Bounty","$4,460,000","$1,905,000",""
"1936","San Francisco","$6,044,000+ ($5,273,000)","$1,300,000",""
"1937","Snow White and the Seven Dwarfs","$418,000,000+ ($8,500,000)","$1,488,423",""
"1938","You Can't Take It With You","$5,000,000","$1,200,000",""
"1939","Gone with the Wind","$390,525,192–402,352,579  ($32,000,000)","$3,900,000–4,250,000",""
"1940","Pinocchio","$87,000,862 ($3,500,000)","$2,600,000",""
"1940","Boom Town","$4,600,000","$2,100,000",""
"1941","Sergeant York","$7,800,000","$1,600,000",""
"1942","Bambi","$267,997,843 ($3,449,353)","$1,700,000–2,000,000",""
"1942","Mrs. Miniver","$8,878,000","$1,344,000",""
"1943","For Whom the Bell Tolls","$11,000,000","$2,681,298",""
"1943","This Is the Army","$9,555,586.44","$1,400,000",""
"1944","Going My Way","$6,500,000","$1,000,000",""
"1945","Mom and Dad","$80,000,000/$22,000,000","$65,000",""
"1945","The Bells of St. Mary's","$11,200,000","$1,600,000",""
"1946","Song of the South","$65,000,000 ($3,300,000)","$2,125,000",""
"1946","The Best Years of Our Lives","$14,750,000","$2,100,000",""
"1946","Duel in the Sun","$10,000,000","$5,255,000",""
"1947","Forever Amber","$8,000,000","$6,375,000",""
"1947","Unconquered","$7,500,000","$4,200,000",""
"1948","Easter Parade","$5,918,134","$2,500,000",""
"1948","The Red Shoes","$5,000,000","£505,581 (~$2,000,000)",""
"1948","The Snake Pit","$4,100,000","$3,800,000",""
"1949","Samson and Delilah","$14,209,250","$3,097,563",""
"1950","Cinderella","$263,591,415($20,000,000/$7,800,000)","$2,200,000",""
"1950","King Solomon's Mines","$10,050,000","$2,258,000",""
"1951","Quo Vadis","$21,037,000–26,700,000","$7,623,000",""
"1952","This Is Cinerama","$50,000,000","$1,000,000",""
"1952","The Greatest Show on Earth","$18,350,000","$3,873,946",""
"1953","Peter Pan","$145,000,000","$3,000,000–4,000,000",""
"1953","The Robe","$25,000,000–26,100,000","$4,100,000",""
"1954","Rear Window","$24,500,000 ($5,300,000)","$1,000,000",""
"1954","White Christmas","$26,000,050 ($12,000,000)","$3,800,000",""
