"Established", "Title", "Record setting gross", "Reference(s)"
"1915", "The Birth of a Nation", "$5,200,000", ""
"1940", "The Birth of a Nation", "$15,000,000 ", ""
"1940", "Gone with the Wind", "$32,000,000", ""
"1963", "Gone with the Wind", "$67,000,000 ", ""
"1966", "The Sound of Music", "$114,600,000", ""
"1971", "Gone with the Wind", "$116,000,000 ", ""
"1972", "The Godfather", "$127,600,000–142,000,000", ""
"1976", "Jaws", "$193,700,000", ""
"1978", "Star Wars", "$410,000,000/$268,500,000", ""
"1982", "Star Wars", "$530,000,000 ", ""
"1983", "E.T. the Extra-Terrestrial", "$619,000,000–664,000,000", ""
"1993", "E.T. the Extra-Terrestrial", "$701,000,000 ", ""
"1993", "Jurassic Park", "$914,691,118", ""
"1998", "Titanic", "$1,843,201,268", ""
"2010", "Avatar", "$2,749,064,328", ""
"2010", "Avatar", "$2,787,965,087 ", ""
