"Mountain","Metres","Feet","Location and Notes"
"Sacajawea Peak","2,999","9,839","Wallowa Mountains, Oregon, USA"
"Cascade Mountain","2,998","9,836","Vermillion Range, Canadian Rockies, Canada"
"Copahue","2,997","9,833","Andes, Argentina/Chile"
"Mount Girouard","2,985","9,793","Fairholme Range, Canadian Rockies, Canada"
"Pico da Neblina","2,994","9,823","Serra do Imeri, Amazonas, Brazil – Highest"
"Mount Whyte","2,983","9,787","Bow Range, Canadian Rockies, Canada"
"Miranjani","2,980","9,777","Pakistan"
"Forellen Peak","2,979","9,774","Teton Range, Wyoming, USA"
"Mount Andrus","2,978","9,770","Ames Range, Antarctica"
"Mount Niblock","2,976","9,764","Bow Range, Canadian Rockies, Canada"
"Pico 31 de Março","2,973","9,754","Serra do Imeri, Amazonas, Brazil"
"Keele Peak","2,972","9,751","Mackenzie Mountains, Yukon, Canada"
"Mount Odin","2,970","9,744","Monashee Mountains, B.C., Canada"
"Schilthorn","2,970","9,744","Bernese Alps, Switzerland"
"Mount Tallac","2,968","9,738","Sierra Nevada, California, USA"
"Mount Inglismaldie","2,964","9,724","Fairholme Range, Canadian Rockies, Canada"
"Mount Ramelau","2,963","9,721","Highest in East Timor"
"Zugspitze","2,962","9,718","Germany – Highest"
"Little Alberta","2,956","9,698","Sir Winston Churchill Range, Canadian Rockies, Canada"
"Mount Arfak","2,955","9,695","Arfak Mountains, West Papua, Indonesia"
"Iron Mountain","2,955","9,695","Soldier Mountains, Idaho, USA"
"Apo","2,954","9,692","Philippines – Highest"
"Fossil Mountain","2,946","9,665","Banff NP, Alberta, Canada"
"Coma Pedrosa","2,942","9,652","Pyrenees, Andorra – Highest"
"Going to the Sun Mountain","2,939","9,642","Lewis Range, Montana, USA"
"Fishers Peak","2,936","9,633","Raton Mesas, Colorado-New Mexico, USA"
"Pilot Mountain","2,935","9,629","Massive Range, Canadian Rockies, Canada"
"Urirotstock","2,928","9,606","Switzerland"
"Musala","2,925","9,596","Bulgaria – Highest"
"Mount Pulag","2,922","9,587","Philippines"
"Mount Olympus","2,917","9,570","Thessaly/Macedonia, Greece – Highest"
"Mount Gould","2,912","9,554","Montana, USA"
"Mount Blakiston","2,910","9,547","Flathead Range, Canadian Rockies, Canada"
"Mount Sas dla Crusc","2,907","9,537","Dolomites, Italy"
"Chutine Peak","2,903","9,524","Coast Range, British Columbia, Canada"
"Rising Wolf Mountain","2,900","9,514","Lewis Range, Montana, USA"
"Bonanza Peak","2,899","9,511","Cascade Range, Washington, USA"
"Pic de Sanfonts","2,894","9,495","Pyrenees, Andorra"
"Pico da Bandeira","2,892","9,488","Serra do Caparaó, Minas Gerais/Espírito Santo, Brazil"
"Collarada","2,886","9,469","Pyrenees, Spain"
"Boardman Peak","2,882","9,455","Soldier Mountains, Idaho, USA"
"Lembert Dome","2,880","9,449","California, USA"
"Mount Stuart","2,869","9,413","Cascades, Washington, USA"
"Mount Silverthrone","2,865","9,400","British Columbia, Canada"
"Triglav","2,864","9,396","Slovenia – Highest"
"Mount Saint Nicholas","2,858","9,377","Montana, USA"
"Mount Wilbur","2,841","9,321","Montana, USA"
"Pico do Fogo","2,829","9,281","Cape Verde – Highest"
