"Mountain","Metres","Feet","Range","Location and Notes"
"Magura Priei","996","3,268","","Romania"
"Sgurr Dearg","986","3,235","Cuillin","Scotland"
"Mount Sizer","980","3,215","Diablo Range","USA (California)"
"Mount Valin","980","3,215","Saguenay Lac St-Jean","Canada (Québec)"
"Hyangnosan","979","3,212","","Gyeongnam Province, South Korea"
"Scafell Pike","978","3,209","Southern Fells","England (Cumbria) – Highest in England"
"Mount Edgecumbe","976","3,202","","USA (Alaska)"
"North Mountain (Catskills)","969","3,179","Catskill Escarpment","USA (New York)"
"Doli Gutta","965","3,166","Deccan Plateau","India – Highest in Telangana State"
"Mount Monadnock","965","3,166","","USA (New Hampshire) – One of the most frequently climbed in the world"
"Tai Mo Shan","957","3,140","","Hong Kong – Highest in Hong Kong"
"Helvellyn","950","3,117","Eastern Fells","England (Cumbria)"
"Mount Gimie","950","3,117","","Saint Lucia – Highest point"
"El Cerro del Aripo","940","3,084","Northern Range","Trinidad and Tobago – Highest point"
"El Tucuche","936","3,071","Northern Range","Trinidad and Tobago"
"Lantau Peak","934","3,064","","Hong Kong"
"Betlingchhip","930","3,051","Jampui Hills","India – Highest in Tripura"
"Kaimondake volcano","924","3,031","","Kagoshima, Japan"
"San Salvatore","912","2,992","","Ticino, Switzerland"
"Pantokrator","906","2,972","","Greece (Corfu)"
"Cadair Idris","893","2,930","","Wales"
"Pen y Fan","886","2,907","","Wales"
"Baekunsan","885","2,904","","Ulsan, South Korea"
"Mount Gerizim","881","2,890","","West Bank"
"Sunset Peak","869","2,851","","Hong Kong"
"Mahuli","858","2,815","","Thane District, Maharashtra, India"
"Mount Taylor","856","2,808","","Canberra, Australia"
"Slaíbh Domhnaírt","856","2,808","Mourne Mountains","County Down, Northern Ireland"
"Tinakula","851","2,792","Tinakula","Solomon Islands"
"Muntele Cetatuia","850","2,789","","Romania"
"Mount Magazine","839","2,753","Ozark Mountains","Arkansas, USA"
"Hoemunsan","837","2,746","","North Jeolla Province, South Korea"
"Bukhansan (Baegundae Peak)","836.5","2,744","","Seoul, South Korea"
"Drocea","836","2,743","","Romania"
"Piton de la Petite Rivière Noire","828","2,717","","Black River Mountain Range, Mauritius"
"Pieter Both","820","2,690","","Mauritius"
"Mount Carleton","817","2,680","Appalachian Mountains","Canada (New Brunswick)"
"The Cheviot","815","2,674","Cheviot Hills","England (Northumberland)"
"Le Pouce","811","2,661","","Mauritius"
"Mount Santubong","810","2,657","","Malaysia (Sarawak)"
"Gros Morne","807","2,648","","Canada (Newfoundland)"
"Clisham","799","2,621","","Harris, Western Isles, Scotland"
"Mount Tamalpais","792","2,598","California Coast Ranges","USA (California)"
"Gyemyeongsan","774","2,539","","North Chungcheong Province, South Korea"
"Mount Boucherie","758","2,487","","Canada (British Columbia)"
"Daeunsan","742","2,434","","South Korea"
"Mount Dobong","740","2,428","","South Korea"
"Ben Cleuch","721","2,365","","Scotland"
"Corps de Garde","720","2,362","","Mauritius"
"Gaseopsan","710","2,329","","North Chungcheong Province, South Korea"
"Piton Savanne","704","2,310","","Mauritius"
"Pu‘u ‘Ō‘ō","698","2,290","","USA (Hawaii)"
"Signal de Botrange","694","2,277","High Fens","Belgium (Liège) – Highest in Belgium"
"Ishpatina Ridge","690","2,264","","Canada (Ontario)"
"Curepipe Point","686","2,251","","Mauritius"
"Galgisan","685","2,247","","Gyeonggi Province and Gangwon Province, South Korea"
"Delphi","681","2,234","","Greece (Skopelos)"
"Qalorujoorneq","676","2,218","","Greenland"
"Les Trois Mamelles","666","2,185","","Mauritius"
"Maple Mountain","642","2,106","","Canada (Ontario)"
"Mountain Lagrave (Montage Lagrave)","638","2,093","","Mauritius"
"Masaya","635","2,083","","Nicaragua"
"Calebasses Mountain (Montagne Calebasses)","632","2,073","","Mauritius"
"Moel Eilio","629","2,064","","Snowdonia, Wales"
"High Willhays","621","2,037","","England (Dartmoor)"
"Snaefell","621","2,037","","Isle of Man, British Isles"
"Munsusan (Ulsan)","600","1,969","","Ulsan, South Korea"
"Mount Takao","599","1,965","","Tokyo, Japan"
"Piton de Fouge","596","1,955","","Mauritius"
"Sikjangsan","596","1,955","","Daejeon, South Korea"
"Forbordsfjellet","590","1,936","","Nord-Trøndelag, Norway"
"Piton du Millieu","589","1,932","","Mauritius"
"Gwanggyosan","582","1,909","","Gyeonggi Province, South Korea"
"Mount Pond","576","1,890","","South Shetland Islands"
"Mount Tabor","575","1,886","","Galilee, Israel"
"Monte Conero","572","1,877","","Italy (Ancona)"
"Gyeryongsan","566","1,857","","South Gyeongsang Province, South Korea"
"Le Morne Brabant","555","1,821","","Mauritius"
"Tourelle du Tamarin","548","1,798","","Mauritius"
"Rempart Mountain (Montagne du Rempart)","545","1,788","","Mauritius"
"Palasip Qaqqaa (Præstefjeldet)","544","1,785","","Qeqqata, Greenland"
"Namamsan","543","1,781","","Ulsan, South Korea"
"Taum Sauk Mountain","540","1,772","","Missouri, USA"
"Great Mell Fell","537","1,762","Eastern Fells","England (Cumbria)"
"Geomdansan (Seongnam)","534.7","1,754","","Gyeonggi Province, South Korea"
"Mountain Blanche (Montagne Blanche)","532","1,745","","Mauritius"
"Yeonhwasan","532","1,745","","Ulsan, South Korea"
"Heukseongsan","519","1,703","","North Chungcheong Province, South Korea"
"Avala","511","1,677","","Serbia"
"Mountain La Terre (Mont La Terre)","504","1,654","","Mauritius"
"Lion Mountain (Montagne Lion)","480","1,575","","Mauritius"
"Little Si","480","1,575","Cascade Range","Washington, USA"
"Tutuiatu Peak","467","1,532","","Romania"
"Pu'u Moaulanui","452","1,483","","Kahoolawe, Hawaii"
"Blue Mountain","452","1,483","","Ontario, Canada"
"Muryongsan (Ulsan)","452","1,483","","Ulsan, South Korea"
"Dongdaesan (Ulsan)","447","1,467","","Ulsan, South Korea"
