"Mountain","Metres","Feet","Location and Notes"
"Ojos del Salado","6,893","22,615","Argentina/Chile  – Highest active volcano on Earth"
"Monte Pissis","6,793","22,287","Argentina"
"Nevado Tres Cruces","6,748","22,139","Argentina/Chile"
"Llullaillaco","6,739","22,110","Argentina/Chile  – Second highest active volcano on Earth"
"Tipas","6,660","21,850","Argentina"
"Nevado Tres Cruces Central","6,629","21,749","Chile"
"Incahuasi","6,621","21,722","Argentina/Chile"
"Tupungato","6,570","21,555","Argentina/Chile"
"Nevado Sajama","6,542","21,463","Bolivia  – Highest peak of Bolivia"
"Coropuna","6,425","21,079","Peru"
"Cerro El Cóndor","6,414","21,043","Argentina"
"Parinacota","6,348","20,827","Bolivia/Chile"
"Ampato","6,288","20,630","Peru"
"Chimborazo","6,267","20,561","Ecuador  – Farthest point from Earth's centre"
"Pular","6,233","20,449","Chile"
"Cerro Solo","6,190","20,308","Argentina/Chile"
"Aucanquilcha","6,176","20,262","Chile"
"San Pedro","6,145","20,161","Chile"
"Sierra Nevada","6,127","20,102","Argentina/Chile"
"Solimana","6,093","19,990","Peru"
"Aracar","6,082","19,954","Argentina"
"Guallatiri","6,071","19,918","Chile"
"Chachani","6,057","19,872","Peru"
"Socompa","6,051","19,852","Argentina/Chile"
"Acamarachi","6,046","19,836","Chile"
"Hualca Hualca","6,025","19,767","Peru"
"Uturunku","6,008","19,711","Bolivia"
