"Mountain","Metres","Feet","Location and Notes"
"Tacora","5,980","19,619","Chile"
"Sabancaya","5,976","19,606","Peru"
"Sairecabur","5,971","19,590","Bolivia/Chile"
"Cerro Paniri","5,946","19,508","Chile"
"Licancabur","5,920","19,423","Bolivia/Chile"
"Miñiques","5,910","19,390","Chile"
"Cotopaxi","5,897","19,347","Ecuador   – Second highest in Ecuador"
"Kilimanjaro","5,895","19,341","Tanzania   – Highest in Africa"
"Putana Volcano","5,890","19,324","Bolivia/Chile"
"Falso Azufre","5,890","19,324","Argentina/Chile"
"Ollagüe","5,868","19,252","Bolivia/Chile"
"Taapaca","5,860","19,226","Chile"
"San José","5,856","19,213","Argentina/Chile"
"Cerro del Azufre","5,846","19,180","Chile"
"El Misti","5,822","19,101","Peru"
"Tutupaca","5,815","19,078","Peru"
"Tocorpuri","5,808","19,055","Bolivia/Chile"
"Cayambe","5,790","18,996","Ecuador –  Third highest in Ecuador"
"Antisana","5,753","18,875","Ecuador"
"Peinado","5,740","18,832","Argentina"
"Linzor","5,680","18,635","Bolivia/Chile"
"Ubinas","5,672","18,609","Peru  –  Active volcano (2006)"
"Pichu Pichu","5,664","18,583","Peru"
"Mount Elbrus","5,642","18,510","Russia   – Highest in Caucasus"
"Pico de Orizaba","5,636","18,491","Mexico   – Highest in Mexico"
"Mount Damavand","5,610","18,406","Iran   – Highest in Asia"
"Tupungatito","5,603","18,383","Argentina/Chile"
"Arintica","5,597","18,363","Chile"
"Lascar Volcano","5,592","18,346","Chile"
"Isluga","5,550","18,209","Chile"
"Yucamani","5,550","18,209","Peru"
"Pampa Luxsar","5,543","18,186","Bolivia"
"Sara Sara","5,505","18,061","Peru"
"Tata Sabaya","5,430","17,815","Bolivia"
"Popocatépetl","5,426","17,802","Mexico   –  Second highest in Mexico"
"Ticsani","5,408","17,743","Peru"
"Pukintika","5,407","17,740","Bolivia/Chile"
"Nevado del Ruiz","5,389","17,680","Colombia  –  23,000 people die in 1985 eruption"
"Maipo","5,264","17,270","Argentina-Chile"
"El Altar","5,319","17,451","Ecuador"
"Illiniza","5,248","17,218","Ecuador"
"Sangay","5,230","17,159","Ecuador"
"Iztaccíhuatl","5,230","17,159","Mexico   – Third highest in Mexico"
"Mount Kenya","5,199","17,057","Kenya   – Highest in Kenya"
"Irruputuncu","5,163","16,939","Bolivia/Chile"
"Mount Ararat","5,137","16,854","Turkey   – Highest in Turkey"
"Mount Kazbek","5,047","16,558","Georgia"
"Tungurahua","5,023","16,480","Ecuador"
"Carihuairazo","5,018","16,463","Ecuador  –  Neighbouring Chimborazo"
"Mount Bona","5,005","16,421","Alaska, United States"
